True_Range,Est_Range,stdev,RSSI,Final_range,Raw_error,Callibrated_data_error
22,22.434,0.192,-77,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.229,0.306,-78,21.934356902356903,-0.2289999999999992,0.06564309764309684
22,22.551,0.171,-77,22.256356902356902,-0.5509999999999984,-0.25635690235690234
22,22.141,0.831,-78,21.846356902356902,-0.14099999999999824,0.1536430976430978
22,22.317,0.193,-78,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.6,1.122,-80,22.305356902356905,-0.6000000000000014,-0.3053569023569054
22,22.522,0.171,-74,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.131,0.248,-78,21.836356902356904,-0.13100000000000023,0.16364309764309581
22,22.288,0.285,-76,21.993356902356904,-0.28800000000000026,0.0066430976430957855
22,22.698,0.189,-78,22.403356902356904,-0.6980000000000004,-0.40335690235690436
22,22.278,0.166,-76,21.983356902356903,-0.2779999999999987,0.01664309764309735
22,22.2,1.048,-77,21.905356902356903,-0.1999999999999993,0.09464309764309675
22,22.053,0.419,-78,21.758356902356905,-0.053000000000000824,0.24164309764309522
22,22.288,0.314,-79,21.993356902356904,-0.28800000000000026,0.0066430976430957855
22,22.581,0.159,-77,22.286356902356903,-0.5809999999999995,-0.2863569023569035
22,22.434,0.34,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.903,0.149,-77,22.608356902356903,-0.9029999999999987,-0.6083569023569027
22,22.2,0.201,-79,21.905356902356903,-0.1999999999999993,0.09464309764309675
22,22.141,0.402,-79,21.846356902356902,-0.14099999999999824,0.1536430976430978
22,22.688,0.301,-77,22.393356902356903,-0.6879999999999988,-0.3933569023569028
22,22.288,0.25,-78,21.993356902356904,-0.28800000000000026,0.0066430976430957855
22,22.463,0.216,-78,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.463,0.234,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.493,0.17,-79,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.317,0.3,-78,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.61,0.148,-79,22.315356902356903,-0.6099999999999994,-0.3153569023569034
22,22.434,0.203,-78,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.317,0.222,-78,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.405,0.215,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.463,0.142,-78,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.375,0.223,-78,22.080356902356904,-0.375,-0.08035690235690396
22,22.288,0.276,-78,21.993356902356904,-0.28800000000000026,0.0066430976430957855
22,22.405,0.195,-78,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.317,0.304,-79,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.873,0.894,-77,22.578356902356905,-0.8730000000000011,-0.5783569023569051
22,22.493,0.213,-79,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.434,0.225,-78,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.258,0.268,-79,21.963356902356903,-0.2579999999999991,0.03664309764309692
22,22.317,0.291,-79,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.522,0.155,-80,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.493,0.22,-79,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.6,0.223,-79,22.305356902356905,-0.6000000000000014,-0.3053569023569054
22,22.747,0.36,-77,22.452356902356904,-0.7469999999999999,-0.45235690235690384
22,22.463,0.237,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.405,0.259,-78,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.463,0.183,-80,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.493,0.176,-79,22.198356902356903,-0.49299999999999855,-0.1983569023569025
